1,	0.001
2,	0
3,	0
4,	0
5,	0
6,	0.001
7,	0
8,	0
9,	0.001
10,	0
11,	0.001
12,	0
13,	0.001
14,	0
15,	0.001
16,	0
17,	0
18,	0.001
19,	0
20,	0
21,	0
22,	0
23,	0.001
24,	0
25,	0
26,	0
27,	0
28,	0
29,	0.001
30,	0
31,	0.001
32,	0
33,	0.001
34,	0
35,	0
36,	0
37,	0
38,	0.001
39,	0.001
40,	0
41,	0
42,	0
43,	0
44,	0
45,	0
46,	0
47,	0.001
48,	0.001
49,	0
50,	0
51,	0
52,	0
53,	0
54,	0
55,	0
56,	0
57,	0
58,	0
59,	0
60,	0
61,	0
62,	0.001
63,	0.001
64,	0
65,	0
66,	0.001
67,	0.001
68,	0.001
69,	0
70,	0.001
71,	0
72,	0.001
73,	0
74,	0.001
75,	0.001
76,	0
77,	0.001
78,	0
79,	0
80,	0.001
81,	0
82,	0
83,	0.001
84,	0
85,	0
86,	0
87,	0
88,	0
89,	0.001
90,	0
91,	0
92,	0.001
93,	0.001
94,	0
95,	0
96,	0
97,	0
98,	0.001
99,	0
100,	0.001
